Zero-Shot Irony Classification Results (OLMo2)
Run started: 2026-03-29 15:00:06
============================================================

[ZERO-SHOT RESULTS — CONDITION SUMMARY]
Condition                     N   Macro F1   Accuracy   F1 ironic   F1 non-ironic
----------------------------------------------------------------------------------
C1_context_richness         120     0.3333     0.5000      0.0000          0.6667
C2_common_ground            119     0.3315     0.4958      0.0000          0.6629
C3_prompting_style          100     0.3333     0.5000      0.0000          0.6667

[ZERO-SHOT RESULTS — PER LEVEL BREAKDOWN]
Condition                  Level        N   Macro F1   Accuracy
-----------------------------------------------------------------
C1_context_richness        high        60     0.3333     0.5000
C1_context_richness        low         60     0.3333     0.5000
C2_common_ground           high        59     0.3295     0.4915
C2_common_ground           low         60     0.3333     0.5000
C3_prompting_style         high        50     0.3333     0.5000
C3_prompting_style         low         50        N/A        N/A

[ZERO-SHOT RESULTS — PER ITEM PREDICTIONS]

  Condition: C1_context_richness
  item_id          level     true label    predicted        score  correct
  ------------------------------------------------------------------------
  C1_01_L          low       ironic        non-ironic      -2.000  NO
  C1_01_L_NI       low       non-ironic    non-ironic      -2.000  YES
  C1_01_H          high      ironic        non-ironic      -2.000  NO
  C1_01_H_NI       high      non-ironic    non-ironic      -2.000  YES
  C1_02_L          low       ironic        non-ironic      -3.000  NO
  C1_02_L_NI       low       non-ironic    non-ironic      -3.000  YES
  C1_02_H          high      ironic        non-ironic      -2.000  NO
  C1_02_H_NI       high      non-ironic    non-ironic      -2.000  YES
  C1_03_L          low       ironic        non-ironic      -2.000  NO
  C1_03_L_NI       low       non-ironic    non-ironic      -2.000  YES
  C1_03_H          high      ironic        non-ironic      -2.000  NO
  C1_03_H_NI       high      non-ironic    non-ironic      -2.000  YES
  C1_04_L          low       ironic        non-ironic      -2.000  NO
  C1_04_L_NI       low       non-ironic    non-ironic      -2.000  YES
  C1_04_H          high      ironic        non-ironic      -2.000  NO
  C1_04_H_NI       high      non-ironic    non-ironic      -2.000  YES
  C1_05_L          low       ironic        non-ironic      -2.000  NO
  C1_05_L_NI       low       non-ironic    non-ironic      -2.000  YES
  C1_05_H          high      ironic        non-ironic      -2.000  NO
  C1_05_H_NI       high      non-ironic    non-ironic      -2.000  YES
  C1_06_L          low       ironic        non-ironic      -2.000  NO
  C1_06_L_NI       low       non-ironic    non-ironic      -2.000  YES
  C1_06_M          high      ironic        non-ironic      -2.000  NO
  C1_06_M_NI       high      non-ironic    non-ironic      -3.000  YES
  C1_07_H          low       ironic        non-ironic      -3.000  NO
  C1_07_H_NI       low       non-ironic    non-ironic      -3.000  YES
  C1_07_M          high      ironic        non-ironic      -2.000  NO
  C1_07_M_NI       high      non-ironic    non-ironic      -2.000  YES
  C1_08_H          low       ironic        non-ironic      -2.000  NO
  C1_08_H_NI       low       non-ironic    non-ironic      -2.000  YES
  C1_08_M          high      ironic        non-ironic      -2.000  NO
  C1_08_M_NI       high      non-ironic    non-ironic      -2.000  YES
  C1_09_H          low       ironic        non-ironic      -2.000  NO
  C1_09_H_NI       low       non-ironic    non-ironic      -2.000  YES
  C1_09_M          high      ironic        non-ironic      -2.000  NO
  C1_09_M_NI       high      non-ironic    non-ironic      -2.000  YES
  C1_10_L          low       ironic        non-ironic      -2.000  NO
