item_id,cg_level,irony_label,base_utterance,full_prompt,model_output
C2_01_L_I,low,ironic,You are such a reliable friend.,"Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","Yes. 

The statement implies trustworthiness and dependability, which is ironic if the person being spoken to"
C2_01_L_NI,low,non-ironic,You are such a reliable friend.,"Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","Yes. 

The statement implies trustworthiness and dependability, which is ironic if the person being spoken to"
C2_01_H_I,high,ironic,You are such a reliable friend.,"Background (known to both): Sam took three days to reply to an urgent message. Both speaker and listener know that reliable friends respond promptly.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","Yes.

The statement is ironic because Sam’s slow response directly contradicts the expectation of a reliable"
C2_01_H_NI,high,non-ironic,You are such a reliable friend.,"Background (known to both): Sam dropped everything and drove over immediately when asked for help. Both speaker and listener know that this is exactly what a reliable friend does.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","Yes.

Here’s why: The irony lies in the fact that the statement is praising Sam"
C2_02_L_I,low,ironic,Thanks for being so punctual as always.,"Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","Yes. 

The statement implies gratitude for someone being on time, but the word ""always"""
C2_02_L_NI,low,non-ironic,Thanks for being so punctual as always.,"Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","Yes. 

The statement implies gratitude for someone being on time, but the word ""always"""
C2_02_H_I,high,ironic,Thanks for being so punctual as always.,"Background (known to both): Alex was supposed to arrive at 9am and showed up at 9:45. Both parties understand that punctuality means arriving on time.
 
 Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","Yes.

The statement is ironic because Alex was late, and “punctual” means being on"
C2_02_H_NI,high,non-ironic,Thanks for being so punctual as always.,"Background (known to both): Alex arrived ten minutes early and had already set everything up. Both parties understand that punctuality means arriving on time, and Alex consistently does so.
 
 Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","Yes.

The statement highlights Alex's consistent punctuality, which is precisely why it’s"
C2_03_L_I,low,ironic,You really saved the day.,"Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","Yes.

It's ironic when someone says ""You really saved the day"" when, in"
C2_03_L_NI,low,non-ironic,You really saved the day.,"Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","Yes.

It's ironic when someone says ""You really saved the day"" when, in"
C2_03_H_I,high,ironic,You really saved the day.,"Background (known to both): Jordan promised to help move flats but cancelled on the morning of the move. It is mutually understood that helping means actually showing up.
 
 Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","Yes.

The statement is ironic because Jordan’s cancellation directly undermined the entire purpose of the promise"
C2_03_H_NI,high,non-ironic,You really saved the day.,"Background (known to both): Jordan stayed four extra hours to help finish the move despite having other plans. Both parties know that going out of your way for someone is what saving the day looks like.
 
 Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","Yes.

Here’s why: Jordan went above and beyond, sacrificing their own plans to help"
C2_04_L_I,low,ironic,Great job on the report.,"Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""","Yes. 

It's ironic if the report was actually terrible. The statement expresses praise,"
