item_id,context-level,irony_label,basic_utterance,full_prompt,model_output
C1_01_L,low,ironic,What a great start to the day.,"Is the following statement ironic? Answer with yes or no. 
""What a great start to the day.""","Yes. 

It's ironic if the day has actually started poorly. Saying ""What a"
C1_01_L_NI,low,non-ironic,What a great start to the day.,"Is the following statement ironic? Answer with yes or no. 
""What a great start to the day.""","Yes. 

It's ironic if the day has actually started poorly. Saying ""What a"
C1_01_H,high,ironic,What a great start to the day.,"Is the following statement ironic? Answer with yes or no. 
""The alarm didn't go off, the milk was sour, and it started raining on the walk to work. What a great start to the day.""","Yes. 

The events described – a malfunctioning alarm, spoiled milk, and rain – are all"
C1_01_H_NI,high,non-ironic,What a great start to the day.,"Is the following statement ironic? Answer with yes or no. 
""Got promoted, had great coffee, the sun was out, and ran into an old friend. What a great start to the day.""","Yes.

The statement describes a series of positive events – a promotion, good coffee, sunshine,"
C1_02_L,low,ironic,That went really smoothly.,"Is the following statement ironic? Answer with yes or no. 
""That went really smoothly.""","Yes. 

The statement ""That went really smoothly"" is often ironic when used after something clearly"
C1_02_L_NI,low,non-ironic,That went really smoothly.,"Is the following statement ironic? Answer with yes or no. 
""That went really smoothly.""","Yes. 

The statement ""That went really smoothly"" is often ironic when used after something clearly"
C1_02_H,high,ironic,That went really smoothly.,"Is the following statement ironic? Answer with yes or no. 
""The presentation crashed halfway through, the client left early, and the projector caught fire. That went really smoothly.""","Yes. 

The events described are the *opposite* of what would be considered a smooth presentation"
C1_02_H_NI,high,non-ironic,That went really smoothly.,"Is the following statement ironic? Answer with yes or no. 
""The client loved every slide, signed the contract on the spot, and asked for a follow-up meeting. That went really smoothly.""","Yes.

The statement implies a highly successful and positive experience, but the underlying context (likely a"
C1_03_L,low,ironic,This is exactly what I needed today.,"Is the following statement ironic? Answer with yes or no. 
""This is exactly what I needed today.""","Yes.

It's ironic when someone says something like that in a situation that is clearly undesirable"
C1_03_L_NI,low,non-ironic,This is exactly what I needed today.,"Is the following statement ironic? Answer with yes or no. 
""This is exactly what I needed today.""","Yes.

It's ironic when someone says something like that in a situation that is clearly undesirable"
C1_03_H,high,ironic,This is exactly what I needed today.,"Is the following statement ironic? Answer with yes or no. 
""My computer crashed right before the deadline, I lost three hours of work, and the backup failed. This is exactly what I needed today.""","Yes. 

The statement expresses a positive sentiment (""exactly what I needed"") in response to a"
C1_03_H_NI,high,non-ironic,This is exactly what I needed today.,"Is the following statement ironic? Answer with yes or no. 
""My manager approved my holiday request, gave me a pay raise, and said I was their best employee. This is exactly what I needed today.""","Yes.

The statement expresses a feeling of needing something positive, and then lists a series of incredibly"
C1_04_L,low,ironic,What a wonderful surprise.,"Is the following statement ironic? Answer with yes or no. 
""What a wonderful surprise.""","Yes. 

The phrase ""What a wonderful surprise"" is often used ironically when something unexpected and"
C1_04_L_NI,low,non-ironic,What a wonderful surprise.,"Is the following statement ironic? Answer with yes or no. 
""What a wonderful surprise.""","Yes. 

The phrase ""What a wonderful surprise"" is often used ironically when something unexpected and"
C1_04_H,high,ironic,What a wonderful surprise.,"Is the following statement ironic? Answer with yes or no. 
""My flight was cancelled, I missed the wedding, and my luggage was lost. What a wonderful surprise.""","Yes. 

The statement expresses a positive sentiment (""What a wonderful surprise"") in response to a"
C1_04_H_NI,high,non-ironic,What a wonderful surprise.,"Is the following statement ironic? Answer with yes or no. 
""My friends threw me an unexpected birthday party, baked my favourite cake, and invited everyone I love. What a wonderful surprise.""","No.

The statement expresses genuine delight and appreciation for a wonderful surprise. Irony would require a"
C1_05_L,low,ironic,This is my favourite kind of meeting.,"Is the following statement ironic? Answer with yes or no. 
""This is my favourite kind of meeting.""","Yes. 

It's ironic because meetings are often perceived as tedious and disliked. Saying it"
C1_05_L_NI,low,non-ironic,This is my favourite kind of meeting.,"Is the following statement ironic? Answer with yes or no. 
""This is my favourite kind of meeting.""","Yes. 

It's ironic because meetings are often perceived as tedious and disliked. Saying it"
C1_05_H,high,ironic,This is my favourite kind of meeting.,"Is the following statement ironic? Answer with yes or no. 
""The meeting was scheduled for 8am on a Friday, ran two hours over, and covered nothing in the agenda. This is my favourite kind of meeting.""","Yes. 

The statement expresses enjoyment of a terrible meeting experience, which is inherently ironic because no"
C1_05_H_NI,high,non-ironic,This is my favourite kind of meeting.,"Is the following statement ironic? Answer with yes or no. 
""The meeting lasted twenty minutes, resolved every open issue, and ended with a team lunch on the company. This is my favourite kind of meeting.""","Yes. 

The statement describes a remarkably efficient and positive meeting experience – the *opposite* of"
C1_06_L,low,ironic,I love this weather.,"Is the following statement ironic? Answer with yes or no. 
""I love this weather.""","Yes.

It's ironic if the weather is terrible (e.g., raining heavily,"
C1_06_L_NI,low,non-ironic,I love this weather.,"Is the following statement ironic? Answer with yes or no. 
""I love this weather.""","Yes.

It's ironic if the weather is terrible (e.g., raining heavily,"
C1_06_M,high,ironic,I love this weather.,"Is the following statement ironic? Answer with yes or no. 
""It has been raining nonstop for four days, the basement flooded, and my umbrella broke. I love this weather.""","Yes. 

The statement expresses love for terrible weather conditions (nonstop rain, flooding, broken"
C1_06_M_NI,high,non-ironic,I love this weather.,"Is the following statement ironic? Answer with yes or no. 
""It is sunny and warm with a light breeze and the forecast says it will last all week. I love this weather.""","Yes. 

The statement expresses love for the weather, but the forecast predicting it will last all"
C1_07_H,low,ironic,That was efficient.,"Is the following statement ironic? Answer with yes or no. 
""That was efficient.""","Yes.

The statement ""That was efficient"" is often ironic when used to describe a situation that"
C1_07_H_NI,low,non-ironic,That was efficient.,"Is the following statement ironic? Answer with yes or no. 
""That was efficient.""","Yes.

The statement ""That was efficient"" is often ironic when used to describe a situation that"
C1_07_M,high,ironic,That was efficient.,"Is the following statement ironic? Answer with yes or no. 
""It took three attempts, two explanations, a full restart, and an hour on hold with support. That was efficient.""","Yes. 

The description of the process is clearly *not* efficient, making the statement ironic"
C1_07_M_NI,high,non-ironic,That was efficient.,"Is the following statement ironic? Answer with yes or no. 
""The whole process was done in under ten minutes with no errors and no waiting. That was efficient.""","Yes.

The statement describes a highly efficient process, but the implied expectation of a complex or lengthy"
C1_08_H,low,ironic,What a productive day.,"Is the following statement ironic? Answer with yes or no. 
""What a productive day.""","Yes. 

It's ironic if the speaker is actually having a very unproductive day. Saying"
C1_08_H_NI,low,non-ironic,What a productive day.,"Is the following statement ironic? Answer with yes or no. 
""What a productive day.""","Yes. 

It's ironic if the speaker is actually having a very unproductive day. Saying"
C1_08_M,high,ironic,What a productive day.,"Is the following statement ironic? Answer with yes or no. 
""I spent four hours in back-to-back meetings, finished nothing, and then my laptop died. What a productive day.""","Yes. 

The statement expresses a feeling of productivity while describing a day of complete lack of productivity"
C1_08_M_NI,high,non-ironic,What a productive day.,"Is the following statement ironic? Answer with yes or no. 
""I finished all my tasks before lunch, had time for a walk, and got positive feedback from my manager. What a productive day.""","No. 

The statement describes a genuinely positive and productive day. There's no inherent contradiction"
C1_09_H,low,ironic,That was a relaxing holiday.,"Is the following statement ironic? Answer with yes or no. 
""That was a relaxing holiday.""","This could be ironic. 

**Yes** 

It's ironic if the holiday was"
C1_09_H_NI,low,non-ironic,That was a relaxing holiday.,"Is the following statement ironic? Answer with yes or no. 
""That was a relaxing holiday.""","This could be ironic. 

**Yes** 

It's ironic if the holiday was"
C1_09_M,high,ironic,That was a relaxing holiday.,"Is the following statement ironic? Answer with yes or no. 
""The hotel overbooked, we slept on a fold-out cot, and it rained every single day. That was a relaxing holiday.""","Yes. 

The description of a miserable experience (overbooked hotel, cot sleeping, constant rain"
C1_09_M_NI,high,non-ironic,That was a relaxing holiday.,"Is the following statement ironic? Answer with yes or no. 
""We had a sea-view room, spent every day at the beach, and came home feeling completely rested. That was a relaxing holiday.""","Yes. 

The irony lies in the expectation that a sea-view room and daily beach visits"
C1_10_L,low,ironic,I really enjoyed that meal.,"Is the following statement ironic? Answer with yes or no. 
""I really enjoyed that meal.""","No.

It's a straightforward statement of enjoyment. Irony requires a contrast between expectation and"
C1_10_L_NI,low,non-ironic,I really enjoyed that meal.,"Is the following statement ironic? Answer with yes or no. 
""I really enjoyed that meal.""","No.

It's a straightforward statement of enjoyment. Irony requires a contrast between expectation and"
C1_10_H,high,ironic,I really enjoyed that meal.,"Is the following statement ironic? Answer with yes or no. 
""The food arrived cold, the waiter spilled soup on me, and they charged me for the wrong dish. I really enjoyed that meal.""","Yes. 

The experiences described are overwhelmingly negative, yet the speaker claims to have ""really enjoyed"
C1_10_H_NI,high,non-ironic,I really enjoyed that meal.,"Is the following statement ironic? Answer with yes or no. 
""The food was fresh, perfectly seasoned, beautifully presented, and the dessert was complimentary. I really enjoyed that meal.""","No. 

The statement describes a genuinely positive and enjoyable dining experience. There's no inherent"
C1_11_L,low,ironic,That was a great use of my time.,"Is the following statement ironic? Answer with yes or no. 
""That was a great use of my time.""","Yes. 

It's ironic because saying ""That was a great use of my time"""
C1_11_L_NI,low,non-ironic,That was a great use of my time.,"Is the following statement ironic? Answer with yes or no. 
""That was a great use of my time.""","Yes. 

It's ironic because saying ""That was a great use of my time"""
C1_11_H,high,ironic,That was a great use of my time.,"Is the following statement ironic? Answer with yes or no.
""I waited forty minutes for an appointment that lasted two minutes and told me nothing I didn't already know. That was a great use of my time.""","Yes. 

The statement expresses satisfaction (""That was a great use of my time"") despite a"
C1_11_H_NI,high,non-ironic,That was a great use of my time.,"Is the following statement ironic? Answer with yes or no.
""The workshop covered exactly what I needed, I left with three new skills, and I met two potential collaborators. That was a great use of my time.""","No.

The statement expresses genuine satisfaction and a positive assessment of the workshop. Irony would require"
C1_12_L,low,ironic,This software is really user-friendly.,"Is the following statement ironic? Answer with yes or no. 
""This software is really user-friendly.""","This depends on the context! 

It *could* be ironic. If the software is notoriously"
C1_12_L_NI,low,non-ironic,This software is really user-friendly.,"Is the following statement ironic? Answer with yes or no. 
""This software is really user-friendly.""","This depends on the context! 

It *could* be ironic. If the software is notoriously"
C1_12_H,high,ironic,This software is really user-friendly.,"Is the following statement ironic? Answer with yes or no. 
""It crashed on the first try, the manual is 300 pages, and the support line was disconnected. This software is really user-friendly.""","Yes. 

The description highlights a series of frustrating and difficult experiences – a crash, a massive"
C1_12_H_NI,high,non-ironic,This software is really user-friendly.,"Is the following statement ironic? Answer with yes or no. 
""I had it set up in five minutes, the interface is intuitive, and there are helpful tooltips on every button. This software is really user-friendly.""","Yes.

The statement describes a very easy and pleasant experience, which is ironic if the software is"
C1_13_L,low,ironic,That exam went well.,"Is the following statement ironic? Answer with yes or no. 
""That exam went well.""","Yes. 

Without further context, the statement ""That exam went well"" is often ironic when"
C1_13_L_NI,low,non-ironic,That exam went well.,"Is the following statement ironic? Answer with yes or no. 
""That exam went well.""","Yes. 

Without further context, the statement ""That exam went well"" is often ironic when"
C1_13_L,high,ironic,That exam went well.,"Is the following statement ironic? Answer with yes or no. 
""I forgot to study, ran out of time on every section, and accidentally submitted the wrong file. That exam went well.""","Yes. 

The events described – forgetting to study, failing to finish on time, and submitting"
C1_13_L_NI,high,non-ironic,That exam went well.,"Is the following statement ironic? Answer with yes or no. 
""I had studied all week, finished with time to spare, and felt confident about every answer. That exam went well.""","No. 

The statement describes a positive outcome (the exam going well) following preparation and confidence"
C1_14_M,low,ironic,What a smooth commute.,"Is the following statement ironic? Answer with yes or no. 
""What a smooth commute.""","Yes. 

It's ironic if the commute was actually *not* smooth – perhaps it"
C1_14_M_NI,low,non-ironic,What a smooth commute.,"Is the following statement ironic? Answer with yes or no. 
""What a smooth commute.""","Yes. 

It's ironic if the commute was actually *not* smooth – perhaps it"
