item_id,cg_level,irony_label,base_utterance,full_prompt,model_output
C2_01_L_I,low,ironic,You are such a reliable friend.,"Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","Yes. 

It’s ironic because the statement is praising someone’s reliability, but the implied meaning is that the speaker doesn’t actually feel reliable. It’s a sarcastic way of saying the opposite."
C2_01_L_NI,low,non-ironic,You are such a reliable friend.,"Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","Yes. 

It’s ironic because the statement is praising someone’s reliability, but the implied meaning is that the speaker doesn’t actually feel reliable. It’s a sarcastic way of saying the opposite."
C2_01_H_I,high,ironic,You are such a reliable friend.,"Background (known to both): Sam took three days to reply to an urgent message. Both speaker and listener know that reliable friends respond promptly.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","Yes.

Here’s why:

The context explicitly states that reliable friends respond promptly. Saying ""You are such a reliable friend"" directly contradicts this established expectation. It’s ironic because it’s the opposite of what’s expected."
C2_01_H_NI,high,non-ironic,You are such a reliable friend.,"Background (known to both): Sam dropped everything and drove over immediately when asked for help. Both speaker and listener know that this is exactly what a reliable friend does.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","Yes.

The context – Sam dropping everything and driving immediately – strongly implies a reliable friend. The statement “You are such a reliable friend” directly contradicts this behavior, making it ironic."
C2_02_L_I,low,ironic,Thanks for being so punctual as always.,"Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""",Yes.
C2_02_L_NI,low,non-ironic,Thanks for being so punctual as always.,"Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""",Yes.
C2_02_H_I,high,ironic,Thanks for being so punctual as always.,"Background (known to both): Alex was supposed to arrive at 9am and showed up at 9:45. Both parties understand that punctuality means arriving on time.
 
 Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","Yes.

The statement is ironic because the speaker is praising Alex’s punctuality, but the reality is that they arrived late. It’s a contrast between what’s expected and what actually happened."
C2_02_H_NI,high,non-ironic,Thanks for being so punctual as always.,"Background (known to both): Alex arrived ten minutes early and had already set everything up. Both parties understand that punctuality means arriving on time, and Alex consistently does so.
 
 Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","Yes.

The statement is ironic because the context explicitly states Alex consistently arrives on time. Saying ""Thanks for being so punctual as always"" is the opposite of what he’s expected to do, creating irony."
C2_03_L_I,low,ironic,You really saved the day.,"Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","Yes. 

It’s ironic because the statement implies the person *didn’t* save the day, but the tone suggests they did. It’s a sarcastic or humorous way of acknowledging a situation where they were the cause of the problem."
C2_03_L_NI,low,non-ironic,You really saved the day.,"Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","Yes. 

It’s ironic because the statement implies the person *didn’t* save the day, but the tone suggests they did. It’s a sarcastic or humorous way of acknowledging a situation where they were the cause of the problem."
C2_03_H_I,high,ironic,You really saved the day.,"Background (known to both): Jordan promised to help move flats but cancelled on the morning of the move. It is mutually understood that helping means actually showing up.
 
 Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","Yes.

Here’s why:

The statement “You really saved the day” is ironic because it’s the *opposite* of what was promised. Jordan promised to help, and he failed to do so."
C2_03_H_NI,high,non-ironic,You really saved the day.,"Background (known to both): Jordan stayed four extra hours to help finish the move despite having other plans. Both parties know that going out of your way for someone is what saving the day looks like.
 
 Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","Yes.

The statement “You really saved the day” is ironic because it’s the opposite of what’s expected. Someone staying late to help is generally seen as a selfless act, not a way to “save the day.”"
C2_04_L_I,low,ironic,Great job on the report.,"Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""",Yes.
C2_04_L_NI,low,non-ironic,Great job on the report.,"Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""",Yes.
C2_04_H_I,high,ironic,Great job on the report.,"Background (known to both): The report was submitted a week late and contained several errors. Both speaker and listener know the deadline and quality standards that were expected.
 
 Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""","No.

The statement “Great job on the report” is a positive and complimentary remark. It’s the opposite of ironic, given the context of the report’s late submission and errors."
C2_04_H_NI,high,non-ironic,Great job on the report.,"Background (known to both): The report was submitted two days early and received praise from the client. Both parties share the same standards for what a good report looks like.
 
 Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""","No.

The statement “Great job on the report” is a straightforward expression of praise and doesn’t inherently imply irony. It’s a positive affirmation."
C2_05_L_I,low,ironic,You are always so straightforward.,"Is the following statement ironic? Answer with yes or no.
 ""You are always so straightforward.""","Yes. 

The statement implies the opposite of what it says – that the person is actually difficult to understand or confusing. It’s ironic because it’s praising someone for being straightforward, but the underlying meaning suggests the opposite."
C2_05_L_NI,low,non-ironic,You are always so straightforward.,"Is the following statement ironic? Answer with yes or no.
 ""You are always so straightforward.""","Yes. 

The statement implies the opposite of what it says – that the person is actually difficult to understand or confusing. It’s ironic because it’s praising someone for being straightforward, but the underlying meaning suggests the opposite."
C2_05_H_I,high,ironic,You are always so straightforward.,"Background (known to both): Chris gave a vague non-answer when asked a direct question. Both parties know that being straightforward means giving clear, direct responses.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are always so straightforward.""","Yes.

The statement is ironic because the opposite of being straightforward is clearly expressed. The speaker is saying the other person is always straightforward, which is a contradiction of the known behavior."
C2_05_H_NI,high,non-ironic,You are always so straightforward.,"Background (known to both): Chris gave an honest answer even though it was uncomfortable to hear. Both parties value directness and know that this is what being straightforward requires.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are always so straightforward.""","Yes.

The statement “You are always so straightforward” is ironic because it’s praising someone for being direct, but the context implies the person’s honesty was uncomfortable. It’s a contradiction of the initial praise."
C2_06_L_I,low,ironic,You keep such a tidy flat.,"Is the following statement ironic? Answer with yes or no.
 ""You keep such a tidy flat.""",Yes.
C2_06_L_NI,low,non-ironic,You keep such a tidy flat.,"Is the following statement ironic? Answer with yes or no.
 ""You keep such a tidy flat.""",Yes.
C2_06_H_I,high,ironic,You keep such a tidy flat.,"Background (known to both): The flatmate has not done the dishes in two weeks. It is a shared household expectation that everyone cleans up after themselves.
 
 Is the following statement ironic? Answer with yes or no.
 ""You keep such a tidy flat.""","Yes.

The statement is ironic because it directly contradicts the established expectation – that the flatmate hasn’t cleaned up."
C2_06_H_NI,high,non-ironic,You keep such a tidy flat.,"Background (known to both): The flatmate deep-cleaned the entire kitchen without being asked. It is a shared household expectation that everyone contributes to keeping things clean, and they went beyond that.
 
 Is the following statement ironic? Answer with yes or no.
 ""You keep such a tidy flat.""","Yes.

The statement is ironic because the flatmate’s actions (deep cleaning without being asked) directly contradict the established expectation of shared responsibility. It’s an ironic observation of a situation where the opposite of what’s expected is happening."
C2_07_L_I,low,ironic,You are incredibly generous.,"Is the following statement ironic? Answer with yes or no.
 ""You are incredibly generous.""","Yes. 

It’s ironic because the statement is praising generosity, but the speaker is likely being self-deprecating or expressing a lack of generosity themselves."
C2_07_L_NI,low,non-ironic,You are incredibly generous.,"Is the following statement ironic? Answer with yes or no.
 ""You are incredibly generous.""","Yes. 

It’s ironic because the statement is praising generosity, but the speaker is likely being self-deprecating or expressing a lack of generosity themselves."
C2_07_H_I,high,ironic,You are incredibly generous.,"Background (known to both): Pat borrowed money three months ago and has not paid it back despite reminders. Both parties know that generosity involves giving, not just taking.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are incredibly generous.""","Yes.

The statement “You are incredibly generous” is ironic because the situation describes a situation where the borrower has not paid back a loan despite reminders – a clear act of taking. It’s the opposite of generous behavior."
C2_07_H_NI,high,non-ironic,You are incredibly generous.,"Background (known to both): Pat paid for the whole dinner without mentioning it and refused to be reimbursed. Both parties understand that generosity means giving without expecting something in return.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are incredibly generous.""","Yes.

The statement “You are incredibly generous” is ironic because the situation described – Pat paying for the entire dinner and refusing to reimburse – directly contradicts the idea of generosity. It’s a stark contrast, making the statement ironic."
C2_08_L_I,low,ironic,You are such a good listener.,"Is the following statement ironic? Answer with yes or no.
 ""You are such a good listener.""","Yes. 

It’s ironic because the statement is praising someone for a quality (good listening) that is often associated with being a poor listener."
C2_08_L_NI,low,non-ironic,You are such a good listener.,"Is the following statement ironic? Answer with yes or no.
 ""You are such a good listener.""","Yes. 

It’s ironic because the statement is praising someone for a quality (good listening) that is often associated with being a poor listener."
C2_08_H_I,high,ironic,You are such a good listener.,"Background (known to both): The other person was on their phone the entire time. Both speaker and listener know that good listening means giving someone your full attention.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are such a good listener.""","Yes.

Here’s why:

The statement directly contradicts the established expectation of good listening – giving someone your full attention. It’s ironic because it’s saying the opposite of what’s expected."
C2_08_H_NI,high,non-ironic,You are such a good listener.,"Background (known to both): The other person put their phone away and asked thoughtful follow-up questions. Both parties know that good listening means being fully present and engaged.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are such a good listener.""","Yes.

The statement is ironic because the other person’s action (putting their phone away and asking thoughtful questions) suggests they *aren’t* listening. Saying “You are such a good listener” directly contradicts that behavior."
C2_09_L_I,low,ironic,You are so well organised.,"Is the following statement ironic? Answer with yes or no.
 ""You are so well organised.""","Yes. 

It’s ironic because the statement implies a positive quality (organisation) while the speaker is likely disorganized."
C2_09_L_NI,low,non-ironic,You are so well organised.,"Is the following statement ironic? Answer with yes or no.
 ""You are so well organised.""","Yes. 

It’s ironic because the statement implies a positive quality (organisation) while the speaker is likely disorganized."
C2_09_H_I,high,ironic,You are so well organised.,"Background (known to both): The event planner forgot to book the venue. Both parties know that organisation is the core responsibility of an event planner.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are so well organised.""","Yes.

The statement is ironic because it directly contradicts the known background – the event planner’s responsibility. It’s a sarcastic remark highlighting the planner’s failure."
C2_09_H_NI,high,non-ironic,You are so well organised.,"Background (known to both): The event planner had a detailed schedule, backup plans, and everything ran on time. Both parties know that this level of preparation is what good organisation looks like.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are so well organised.""","Yes.

The background establishes a consistent, reliable level of organization. The statement “You are so well organized” directly contradicts this established reality. It’s ironic because it’s saying the opposite of what’s known."
C2_10_L_I,low,ironic,You are so dedicated to this project.,"Is the following statement ironic? Answer with yes or no.
 ""You are so dedicated to this project.""","Yes. 

It’s ironic because the statement implies the person is *not* dedicated, despite the claim of dedication. It’s a sarcastic way of saying they’re lazy or overwhelmed."
C2_10_L_NI,low,non-ironic,You are so dedicated to this project.,"Is the following statement ironic? Answer with yes or no.
 ""You are so dedicated to this project.""","Yes. 

It’s ironic because the statement implies the person is *not* dedicated, despite the claim of dedication. It’s a sarcastic way of saying they’re lazy or overwhelmed."
C2_10_H_I,high,ironic,You are so dedicated to this project.,"Background (known to both): The colleague has missed the last four team meetings. Attendance and active participation are mutually understood as signs of commitment.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are so dedicated to this project.""","Yes.

Here’s why:

The statement is ironic because it’s praising someone’s dedication while simultaneously pointing out a clear lack of commitment (missing meetings). It’s a contradiction."
C2_10_H_NI,high,non-ironic,You are so dedicated to this project.,"Background (known to both): The colleague worked over the weekend to make sure the deadline was met. Both parties understand that dedication means putting in extra effort when it matters.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are so dedicated to this project.""","Yes.

The statement “You are so dedicated to this project” is ironic because the context (the colleague worked over the weekend to meet a deadline) suggests the opposite – that the dedication is excessive and perhaps a bit burdensome. It’s a contrast between the expected behavior and the actual action."
C2_11_L_I,low,ironic,That was very tactfully handled.,"Is the following statement ironic? Answer with yes or no.
 ""That was very tactfully handled.""","Yes. 

The statement implies the handling was skillful, but the word ""tactfully"" suggests a deliberate and perhaps somewhat insincere attempt to avoid conflict or discomfort. This creates an ironic contrast."
C2_11_L_NI,low,non-ironic,That was very tactfully handled.,"Is the following statement ironic? Answer with yes or no.
 ""That was very tactfully handled.""","Yes. 

The statement implies the handling was skillful, but the word ""tactfully"" suggests a deliberate and perhaps somewhat insincere attempt to avoid conflict or discomfort. This creates an ironic contrast."
