item_id,prompt_level,irony_label,base_utterance,full_prompt,model_output
C3_01_L_I,low,ironic,That went exactly as planned.,"Consider the following before answering:
 (1) What do the individual words in this statement literally mean?
 (2) Taking the words at face value, does the statement describe something positive or negative?
 (3) Based purely on the meaning of the words, what is the most straightforward interpretation?

Is the following statement ironic? Answer with yes or no.
 ""That went exactly as planned.""","Let's break down the statement ""That went exactly as planned.""

1. **Literal Meaning:**"
C3_01_L_NI,low,non-ironic,That went exactly as planned.,"Consider the following before answering:
 (1) What do the individual words in this statement literally mean?
 (2) Taking the words at face value, does the statement describe something positive or negative?
 (3) Based purely on the meaning of the words, what is the most straightforward interpretation?

Is the following statement ironic? Answer with yes or no.
 ""That went exactly as planned.""","Let's break down the statement ""That went exactly as planned.""

1. **Literal Meaning:**"
C3_01_H_I,high,ironic,That went exactly as planned.,"Consider the following before answering:
 (1) What did the speaker literally say?
 (2) What situation would make this statement sincerely true versus untrue?
 (3) What would a listener familiar with how language is used infer about the speaker's actual intended meaning?
 
 Is the following statement ironic? Answer with yes or no.
 ""That went exactly as planned.""","Let's analyze the statement ""That went exactly as planned.""

1. **Literal Meaning:**"
C3_01_H_NI,high,non-ironic,That went exactly as planned.,"Consider the following before answering:
 (1) What did the speaker literally say?
 (2) What situation would make this statement sincerely true versus untrue?
 (3) What would a listener familiar with how language is used infer about the speaker's actual intended meaning?
 
 Is the following statement ironic? Answer with yes or no.
 ""That went exactly as planned.""","Let's analyze the statement ""That went exactly as planned.""

1. **Literal Meaning:**"
C3_02_L_I,low,ironic,I love how this turned out.,"Consider the following before answering:
 (1) What do the individual words in this statement literally mean?
 (2) Taking the words at face value, does the statement describe something positive or negative?
 (3) Based purely on the meaning of the words, what is the most straightforward interpretation?

Is the following statement ironic? Answer with yes or no.
 ""I love how this turned out.""","Let's break down the statement ""I love how this turned out.""

1. **Literal Meaning:"
C3_02_L_NI,low,non-ironic,I love how this turned out.,"Consider the following before answering:
 (1) What do the individual words in this statement literally mean?
 (2) Taking the words at face value, does the statement describe something positive or negative?
 (3) Based purely on the meaning of the words, what is the most straightforward interpretation?

Is the following statement ironic? Answer with yes or no.
 ""I love how this turned out.""","Let's break down the statement ""I love how this turned out.""

1. **Literal Meaning:"
C3_02_H_I,high,ironic,I love how this turned out.,"Consider the following before answering:
 (1) What did the speaker literally say?
 (2) What situation would make this statement sincerely true versus untrue?
 (3) What would a listener familiar with how language is used infer about the speaker's actual intended meaning?
 
 Is the following statement ironic? Answer with yes or no.
 ""I love how this turned out.""","Let's analyze the statement ""I love how this turned out.""

1. **Literal Meaning:**"
C3_02_H_NI,high,non-ironic,I love how this turned out.,"Consider the following before answering:
 (1) What did the speaker literally say?
 (2) What situation would make this statement sincerely true versus untrue?
 (3) What would a listener familiar with how language is used infer about the speaker's actual intended meaning?
 
 Is the following statement ironic? Answer with yes or no.
 ""I love how this turned out.""","Let's analyze the statement ""I love how this turned out.""

1. **Literal Meaning:**"
C3_03_L_I,low,ironic,This is exactly what I signed up for.,"Consider the following before answering:
 (1) What do the individual words in this statement literally mean?
 (2) Taking the words at face value, does the statement describe something positive or negative?
 (3) Based purely on the meaning of the words, what is the most straightforward interpretation?

Is the following statement ironic? Answer with yes or no.
 ""This is exactly what I signed up for.""","Let's break down the statement ""This is exactly what I signed up for.""

1. **Literal"
C3_03_L_NI,low,non-ironic,This is exactly what I signed up for.,"Consider the following before answering:
 (1) What do the individual words in this statement literally mean?
 (2) Taking the words at face value, does the statement describe something positive or negative?
 (3) Based purely on the meaning of the words, what is the most straightforward interpretation?

Is the following statement ironic? Answer with yes or no.
 ""This is exactly what I signed up for.""","Let's break down the statement ""This is exactly what I signed up for.""

1. **Literal"
