item_id,context-level,irony_label,basic_utterance,full_prompt
C1_01_L,low,ironic,What a great start to the day.,"Is the following statement ironic? Answer with yes or no. 
""What a great start to the day."""
C1_01_L_NI,low,non-ironic,What a great start to the day.,"Is the following statement ironic? Answer with yes or no. 
""What a great start to the day."""
C1_01_H,high,ironic,What a great start to the day.,"Is the following statement ironic? Answer with yes or no. 
""The alarm didn't go off, the milk was sour, and it started raining on the walk to work. What a great start to the day."""
C1_01_H_NI,high,non-ironic,What a great start to the day.,"Is the following statement ironic? Answer with yes or no. 
""Got promoted, had great coffee, the sun was out, and ran into an old friend. What a great start to the day."""
C1_02_L,low,ironic,That went really smoothly.,"Is the following statement ironic? Answer with yes or no. 
""That went really smoothly."""
C1_02_L_NI,low,non-ironic,That went really smoothly.,"Is the following statement ironic? Answer with yes or no. 
""That went really smoothly."""
C1_02_H,high,ironic,That went really smoothly.,"Is the following statement ironic? Answer with yes or no. 
""The presentation crashed halfway through, the client left early, and the projector caught fire. That went really smoothly."""
C1_02_H_NI,high,non-ironic,That went really smoothly.,"Is the following statement ironic? Answer with yes or no. 
""The client loved every slide, signed the contract on the spot, and asked for a follow-up meeting. That went really smoothly."""
C1_03_L,low,ironic,This is exactly what I needed today.,"Is the following statement ironic? Answer with yes or no. 
""This is exactly what I needed today."""
C1_03_L_NI,low,non-ironic,This is exactly what I needed today.,"Is the following statement ironic? Answer with yes or no. 
""This is exactly what I needed today."""
C1_03_H,high,ironic,This is exactly what I needed today.,"Is the following statement ironic? Answer with yes or no. 
""My computer crashed right before the deadline, I lost three hours of work, and the backup failed. This is exactly what I needed today."""
C1_03_H_NI,high,non-ironic,This is exactly what I needed today.,"Is the following statement ironic? Answer with yes or no. 
""My manager approved my holiday request, gave me a pay raise, and said I was their best employee. This is exactly what I needed today."""
C1_04_L,low,ironic,What a wonderful surprise.,"Is the following statement ironic? Answer with yes or no. 
""What a wonderful surprise."""
C1_04_L_NI,low,non-ironic,What a wonderful surprise.,"Is the following statement ironic? Answer with yes or no. 
""What a wonderful surprise."""
C1_04_H,high,ironic,What a wonderful surprise.,"Is the following statement ironic? Answer with yes or no. 
""My flight was cancelled, I missed the wedding, and my luggage was lost. What a wonderful surprise."""
C1_04_H_NI,high,non-ironic,What a wonderful surprise.,"Is the following statement ironic? Answer with yes or no. 
""My friends threw me an unexpected birthday party, baked my favourite cake, and invited everyone I love. What a wonderful surprise."""
C1_05_L,low,ironic,This is my favourite kind of meeting.,"Is the following statement ironic? Answer with yes or no. 
""This is my favourite kind of meeting."""
C1_05_L_NI,low,non-ironic,This is my favourite kind of meeting.,"Is the following statement ironic? Answer with yes or no. 
""This is my favourite kind of meeting."""
C1_05_H,high,ironic,This is my favourite kind of meeting.,"Is the following statement ironic? Answer with yes or no. 
""The meeting was scheduled for 8am on a Friday, ran two hours over, and covered nothing in the agenda. This is my favourite kind of meeting."""
C1_05_H_NI,high,non-ironic,This is my favourite kind of meeting.,"Is the following statement ironic? Answer with yes or no. 
""The meeting lasted twenty minutes, resolved every open issue, and ended with a team lunch on the company. This is my favourite kind of meeting."""
C1_06_L,low,ironic,I love this weather.,"Is the following statement ironic? Answer with yes or no. 
""I love this weather."""
C1_06_L_NI,low,non-ironic,I love this weather.,"Is the following statement ironic? Answer with yes or no. 
""I love this weather."""
C1_06_M,high,ironic,I love this weather.,"Is the following statement ironic? Answer with yes or no. 
""It has been raining nonstop for four days, the basement flooded, and my umbrella broke. I love this weather."""
C1_06_M_NI,high,non-ironic,I love this weather.,"Is the following statement ironic? Answer with yes or no. 
""It is sunny and warm with a light breeze and the forecast says it will last all week. I love this weather."""
C1_07_H,low,ironic,That was efficient.,"Is the following statement ironic? Answer with yes or no. 
""That was efficient."""
C1_07_H_NI,low,non-ironic,That was efficient.,"Is the following statement ironic? Answer with yes or no. 
""That was efficient."""
C1_07_M,high,ironic,That was efficient.,"Is the following statement ironic? Answer with yes or no. 
""It took three attempts, two explanations, a full restart, and an hour on hold with support. That was efficient."""
C1_07_M_NI,high,non-ironic,That was efficient.,"Is the following statement ironic? Answer with yes or no. 
""The whole process was done in under ten minutes with no errors and no waiting. That was efficient."""
C1_08_H,low,ironic,What a productive day.,"Is the following statement ironic? Answer with yes or no. 
""What a productive day."""
C1_08_H_NI,low,non-ironic,What a productive day.,"Is the following statement ironic? Answer with yes or no. 
""What a productive day."""
C1_08_M,high,ironic,What a productive day.,"Is the following statement ironic? Answer with yes or no. 
""I spent four hours in back-to-back meetings, finished nothing, and then my laptop died. What a productive day."""
C1_08_M_NI,high,non-ironic,What a productive day.,"Is the following statement ironic? Answer with yes or no. 
""I finished all my tasks before lunch, had time for a walk, and got positive feedback from my manager. What a productive day."""
C1_09_H,low,ironic,That was a relaxing holiday.,"Is the following statement ironic? Answer with yes or no. 
""That was a relaxing holiday."""
C1_09_H_NI,low,non-ironic,That was a relaxing holiday.,"Is the following statement ironic? Answer with yes or no. 
""That was a relaxing holiday."""
C1_09_M,high,ironic,That was a relaxing holiday.,"Is the following statement ironic? Answer with yes or no. 
""The hotel overbooked, we slept on a fold-out cot, and it rained every single day. That was a relaxing holiday."""
C1_09_M_NI,high,non-ironic,That was a relaxing holiday.,"Is the following statement ironic? Answer with yes or no. 
""We had a sea-view room, spent every day at the beach, and came home feeling completely rested. That was a relaxing holiday."""
C1_10_L,low,ironic,I really enjoyed that meal.,"Is the following statement ironic? Answer with yes or no. 
""I really enjoyed that meal."""
C1_10_L_NI,low,non-ironic,I really enjoyed that meal.,"Is the following statement ironic? Answer with yes or no. 
""I really enjoyed that meal."""
C1_10_H,high,ironic,I really enjoyed that meal.,"Is the following statement ironic? Answer with yes or no. 
""The food arrived cold, the waiter spilled soup on me, and they charged me for the wrong dish. I really enjoyed that meal."""
C1_10_H_NI,high,non-ironic,I really enjoyed that meal.,"Is the following statement ironic? Answer with yes or no. 
""The food was fresh, perfectly seasoned, beautifully presented, and the dessert was complimentary. I really enjoyed that meal."""
C1_11_L,low,ironic,That was a great use of my time.,"Is the following statement ironic? Answer with yes or no. 
""That was a great use of my time."""
C1_11_L_NI,low,non-ironic,That was a great use of my time.,"Is the following statement ironic? Answer with yes or no. 
""That was a great use of my time."""
C1_11_H,high,ironic,That was a great use of my time.,"Is the following statement ironic? Answer with yes or no.
""I waited forty minutes for an appointment that lasted two minutes and told me nothing I didn't already know. That was a great use of my time."""
C1_11_H_NI,high,non-ironic,That was a great use of my time.,"Is the following statement ironic? Answer with yes or no.
""The workshop covered exactly what I needed, I left with three new skills, and I met two potential collaborators. That was a great use of my time."""
C1_12_L,low,ironic,This software is really user-friendly.,"Is the following statement ironic? Answer with yes or no. 
""This software is really user-friendly."""
C1_12_L_NI,low,non-ironic,This software is really user-friendly.,"Is the following statement ironic? Answer with yes or no. 
""This software is really user-friendly."""
C1_12_H,high,ironic,This software is really user-friendly.,"Is the following statement ironic? Answer with yes or no. 
""It crashed on the first try, the manual is 300 pages, and the support line was disconnected. This software is really user-friendly."""
C1_12_H_NI,high,non-ironic,This software is really user-friendly.,"Is the following statement ironic? Answer with yes or no. 
""I had it set up in five minutes, the interface is intuitive, and there are helpful tooltips on every button. This software is really user-friendly."""
C1_13_L,low,ironic,That exam went well.,"Is the following statement ironic? Answer with yes or no. 
""That exam went well."""
