Zero-Shot Irony Classification Results
Run started: 2026-03-25 10:19:22
============================================================

[ZERO-SHOT RESULTS — CONDITION SUMMARY]
Condition                     N   Macro F1   Accuracy   F1 ironic   F1 non-ironic
----------------------------------------------------------------------------------
C1_context_richness         120     0.3076     0.3250      0.1980          0.4173
C2_common_ground            119     0.4313     0.5126      0.2162          0.6463
C3_prompting_style          100     0.4998     0.5000      0.4898          0.5098

[ZERO-SHOT RESULTS — PER LEVEL BREAKDOWN]
Condition                  Level        N   Macro F1   Accuracy
-----------------------------------------------------------------
C1_context_richness        high        60     0.1498     0.1500
C1_context_richness        low         60     0.4375     0.5000
C2_common_ground           high        59     0.4705     0.5254
C2_common_ground           low         60     0.3844     0.5000
C3_prompting_style         high        50     0.4982     0.5000
C3_prompting_style         low         50     0.4998     0.5000

[ZERO-SHOT RESULTS — PER ITEM PREDICTIONS]

  Condition: C1_context_richness
  item_id          level     true label    predicted        score  correct
  ------------------------------------------------------------------------
  C1_01_L          low       ironic        non-ironic      -0.200  NO
  C1_01_L_NI       low       non-ironic    non-ironic      -0.200  YES
  C1_01_H          high      ironic        non-ironic      -0.517  NO
  C1_01_H_NI       high      non-ironic    ironic          +0.415  NO
  C1_02_L          low       ironic        non-ironic      -0.348  NO
  C1_02_L_NI       low       non-ironic    non-ironic      -0.348  YES
  C1_02_H          high      ironic        non-ironic      -0.841  NO
  C1_02_H_NI       high      non-ironic    ironic          +0.066  NO
  C1_03_L          low       ironic        non-ironic      -0.034  NO
  C1_03_L_NI       low       non-ironic    non-ironic      -0.034  YES
  C1_03_H          high      ironic        non-ironic      -0.241  NO
  C1_03_H_NI       high      non-ironic    ironic          +0.329  NO
  C1_04_L          low       ironic        non-ironic      -0.438  NO
  C1_04_L_NI       low       non-ironic    non-ironic      -0.438  YES
  C1_04_H          high      ironic        non-ironic      -0.347  NO
  C1_04_H_NI       high      non-ironic    ironic          +0.364  NO
  C1_05_L          low       ironic        non-ironic      -0.520  NO
  C1_05_L_NI       low       non-ironic    non-ironic      -0.520  YES
  C1_05_H          high      ironic        non-ironic      -0.832  NO
  C1_05_H_NI       high      non-ironic    ironic          +0.038  NO
  C1_06_L          low       ironic        ironic          +0.068  YES
  C1_06_L_NI       low       non-ironic    ironic          +0.068  NO
  C1_06_M          high      ironic        ironic          +0.412  YES
  C1_06_M_NI       high      non-ironic    ironic          +1.257  NO
  C1_07_H          low       ironic        non-ironic      -0.297  NO
  C1_07_H_NI       low       non-ironic    non-ironic      -0.297  YES
  C1_07_M          high      ironic        non-ironic      -0.310  NO
  C1_07_M_NI       high      non-ironic    ironic          +1.116  NO
  C1_08_H          low       ironic        non-ironic      -0.538  NO
  C1_08_H_NI       low       non-ironic    non-ironic      -0.538  YES
  C1_08_M          high      ironic        non-ironic      -0.655  NO
  C1_08_M_NI       high      non-ironic    ironic          +0.517  NO
  C1_09_H          low       ironic        non-ironic      -0.517  NO
  C1_09_H_NI       low       non-ironic    non-ironic      -0.517  YES
  C1_09_M          high      ironic        non-ironic      -0.854  NO
  C1_09_M_NI       high      non-ironic    non-ironic      -0.079  YES
  C1_10_L          low       ironic        non-ironic      -0.163  NO
  C1_10_L_NI       low       non-ironic    non-ironic      -0.163  YES
  C1_10_H          high      ironic        non-ironic      -0.451  NO
  C1_10_H_NI       high      non-ironic    ironic          +0.937  NO
  C1_11_L          low       ironic        non-ironic      -0.451  NO
  C1_11_L_NI       low       non-ironic    non-ironic      -0.451  YES
  C1_11_H          high      ironic        non-ironic      -0.641  NO
  C1_11_H_NI       high      non-ironic    ironic          +0.836  NO
  C1_12_L          low       ironic        non-ironic      -0.149  NO
  C1_12_L_NI       low       non-ironic    non-ironic      -0.149  YES
  C1_12_H          high      ironic        non-ironic      -0.256  NO
  C1_12_H_NI       high      non-ironic    ironic          +0.867  NO
  C1_13_L          low       ironic        non-ironic      -0.150  NO
  C1_13_L_NI       low       non-ironic    non-ironic      -0.150  YES
  C1_13_L          high      ironic        non-ironic      -0.375  NO
  C1_13_L_NI       high      non-ironic    non-ironic      -0.072  YES
  C1_14_M          low       ironic        non-ironic      -0.766  NO
  C1_14_M_NI       low       non-ironic    non-ironic      -0.766  YES
  C1_14_L          high      ironic        non-ironic      -0.582  NO
  C1_14_L_NI       high      non-ironic    ironic          +0.141  NO
