item_id,cg_level,irony_label,base_utterance,full_prompt,model_output
C2_01_L_I,low,ironic,You are such a reliable friend.,"Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","No, this statement is not ironic. It is straightforward and sincere, expressing a compliment about the friend"
C2_01_L_NI,low,non-ironic,You are such a reliable friend.,"Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","No, this statement is not ironic. It is straightforward and sincere, expressing a compliment about the friend"
C2_01_H_I,high,ironic,You are such a reliable friend.,"Background (known to both): Sam took three days to reply to an urgent message. Both speaker and listener know that reliable friends respond promptly.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","No, the statement ""You are such a reliable friend"" is not ironic. It is a compliment"
C2_01_H_NI,high,non-ironic,You are such a reliable friend.,"Background (known to both): Sam dropped everything and drove over immediately when asked for help. Both speaker and listener know that this is exactly what a reliable friend does.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are such a reliable friend.""","No, the statement ""You are such a reliable friend"" is not ironic. It is a sincere"
C2_02_L_I,low,ironic,Thanks for being so punctual as always.,"Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","No, this statement is not ironic. It is straightforward and sincere praise for someone's punctuality."
C2_02_L_NI,low,non-ironic,Thanks for being so punctual as always.,"Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","No, this statement is not ironic. It is straightforward and sincere praise for someone's punctuality."
C2_02_H_I,high,ironic,Thanks for being so punctual as always.,"Background (known to both): Alex was supposed to arrive at 9am and showed up at 9:45. Both parties understand that punctuality means arriving on time.
 
 Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","No, the statement is not ironic. It is actually a compliment. Being punctual is generally considered"
C2_02_H_NI,high,non-ironic,Thanks for being so punctual as always.,"Background (known to both): Alex arrived ten minutes early and had already set everything up. Both parties understand that punctuality means arriving on time, and Alex consistently does so.
 
 Is the following statement ironic? Answer with yes or no.
 ""Thanks for being so punctual as always.""","No, the statement is not ironic. It is actually a compliment. Being punctual is generally considered"
C2_03_L_I,low,ironic,You really saved the day.,"Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","No, this statement is not ironic. It is a straightforward compliment that conveys gratitude for a person"
C2_03_L_NI,low,non-ironic,You really saved the day.,"Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","No, this statement is not ironic. It is a straightforward compliment that conveys gratitude for a person"
C2_03_H_I,high,ironic,You really saved the day.,"Background (known to both): Jordan promised to help move flats but cancelled on the morning of the move. It is mutually understood that helping means actually showing up.
 
 Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","No, because Jordan did not actually show up to help move the flats. The statement would be ironic"
C2_03_H_NI,high,non-ironic,You really saved the day.,"Background (known to both): Jordan stayed four extra hours to help finish the move despite having other plans. Both parties know that going out of your way for someone is what saving the day looks like.
 
 Is the following statement ironic? Answer with yes or no.
 ""You really saved the day.""","No, because Jordan went out of his way to help finish the move, which is what saving the"
C2_04_L_I,low,ironic,Great job on the report.,"Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""","No, it is not ironic. The statement ""Great job on the report."" is not ironic because"
C2_04_L_NI,low,non-ironic,Great job on the report.,"Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""","No, it is not ironic. The statement ""Great job on the report."" is not ironic because"
C2_04_H_I,high,ironic,Great job on the report.,"Background (known to both): The report was submitted a week late and contained several errors. Both speaker and listener know the deadline and quality standards that were expected.
 
 Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""","No, the statement ""Great job on the report."" is not ironic. It is a compliment that"
C2_04_H_NI,high,non-ironic,Great job on the report.,"Background (known to both): The report was submitted two days early and received praise from the client. Both parties share the same standards for what a good report looks like.
 
 Is the following statement ironic? Answer with yes or no.
 ""Great job on the report.""","No, the statement ""Great job on the report."" is not ironic. It is a straightforward compliment"
C2_05_L_I,low,ironic,You are always so straightforward.,"Is the following statement ironic? Answer with yes or no.
 ""You are always so straightforward.""","No, this statement is not ironic. It is straightforward and not meant to be ironic. The phrase"
C2_05_L_NI,low,non-ironic,You are always so straightforward.,"Is the following statement ironic? Answer with yes or no.
 ""You are always so straightforward.""","No, this statement is not ironic. It is straightforward and not meant to be ironic. The phrase"
C2_05_H_I,high,ironic,You are always so straightforward.,"Background (known to both): Chris gave a vague non-answer when asked a direct question. Both parties know that being straightforward means giving clear, direct responses.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are always so straightforward.""","No, because the statement is not ironic. It is true that Chris is often straightforward, providing clear"
C2_05_H_NI,high,non-ironic,You are always so straightforward.,"Background (known to both): Chris gave an honest answer even though it was uncomfortable to hear. Both parties value directness and know that this is what being straightforward requires.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are always so straightforward.""","No, the statement ""You are always so straightforward"" is not ironic. It is a straightforward affirmation"
C2_06_L_I,low,ironic,You keep such a tidy flat.,"Is the following statement ironic? Answer with yes or no.
 ""You keep such a tidy flat.""","No, this statement is not ironic. It is actually a compliment. Saying someone keeps a tidy flat"
C2_06_L_NI,low,non-ironic,You keep such a tidy flat.,"Is the following statement ironic? Answer with yes or no.
 ""You keep such a tidy flat.""","No, this statement is not ironic. It is actually a compliment. Saying someone keeps a tidy flat"
C2_06_H_I,high,ironic,You keep such a tidy flat.,"Background (known to both): The flatmate has not done the dishes in two weeks. It is a shared household expectation that everyone cleans up after themselves.
 
 Is the following statement ironic? Answer with yes or no.
 ""You keep such a tidy flat.""","No, because the statement ""You keep such a tidy flat"" is not ironic. It is a"
C2_06_H_NI,high,non-ironic,You keep such a tidy flat.,"Background (known to both): The flatmate deep-cleaned the entire kitchen without being asked. It is a shared household expectation that everyone contributes to keeping things clean, and they went beyond that.
 
 Is the following statement ironic? Answer with yes or no.
 ""You keep such a tidy flat.""","No, because the flatmate cleaned the kitchen without being asked, which goes beyond the usual expectation of"
C2_07_L_I,low,ironic,You are incredibly generous.,"Is the following statement ironic? Answer with yes or no.
 ""You are incredibly generous.""","No, this statement is not ironic. It is true and compliments the person being spoken to. The"
C2_07_L_NI,low,non-ironic,You are incredibly generous.,"Is the following statement ironic? Answer with yes or no.
 ""You are incredibly generous.""","No, this statement is not ironic. It is true and compliments the person being spoken to. The"
C2_07_H_I,high,ironic,You are incredibly generous.,"Background (known to both): Pat borrowed money three months ago and has not paid it back despite reminders. Both parties know that generosity involves giving, not just taking.
 
 Is the following statement ironic? Answer with yes or no.
 ""You are incredibly generous.""","No, because the statement ""You are incredibly generous"" is not ironic. It is a compliment that"
